iter	RMSE
0	14.79987951
1	14.70197716
2	14.60384077
3	14.50463694
4	14.40676832
5	14.32228528
6	14.22999283
7	14.14821836
8	14.06719187
9	13.97056283
10	13.87382044
11	13.79496004
12	13.70292206
13	13.61670176
14	13.52907032
15	13.43796934
16	13.34881922
17	13.26624025
18	13.18013596
19	13.09495563
20	13.01731531
21	12.94111384
22	12.85685384
23	12.77659995
24	12.69709511
25	12.6243468
26	12.54342302
27	12.47262946
28	12.39602474
29	12.31897441
30	12.25098967
31	12.17444151
32	12.10043038
33	12.02411422
34	11.95072233
35	11.88218914
36	11.80979191
37	11.74436252
38	11.67337536
39	11.60481388
40	11.54007071
41	11.47140158
42	11.40063499
43	11.33807526
44	11.27563813
45	11.20807165
46	11.1430865
47	11.08324789
48	11.02275086
49	10.96764214
50	10.91275383
51	10.84964709
52	10.78728632
53	10.72651084
54	10.67414281
55	10.61048724
56	10.55112424
57	10.49500656
58	10.43984379
59	10.38957189
60	10.33587269
61	10.27810322
62	10.22881824
63	10.17671538
64	10.13030155
65	10.07518616
66	10.02410869
67	9.98211021
68	9.932824672
69	9.883271174
70	9.837040481
71	9.789375002
72	9.73882929
73	9.687312717
74	9.638612492
75	9.590734372
76	9.54096966
77	9.495583265
78	9.450796379
79	9.408207013
80	9.361911556
81	9.317726975
82	9.272728322
83	9.235039274
84	9.189146698
85	9.14509801
86	9.106617643
87	9.064043571
88	9.026173677
89	8.983339526
90	8.948594501
91	8.907417696
92	8.864964802
93	8.826690734
94	8.787361004
95	8.751727573
96	8.712560605
97	8.678890986
98	8.639398242
99	8.604262877
