iter	Passed	Remaining
0	1	184
1	3	178
2	5	172
3	7	170
4	8	168
5	10	167
6	12	165
7	14	163
8	15	161
9	17	158
10	19	156
11	21	154
12	22	151
13	24	151
14	26	150
15	28	149
16	30	147
17	32	146
18	34	145
19	35	143
20	37	142
21	39	141
22	41	139
23	43	137
24	45	135
25	47	134
26	49	132
27	50	130
28	52	129
29	54	127
30	56	125
31	58	123
32	60	121
33	61	120
34	63	118
35	65	116
36	67	114
37	69	113
38	71	111
39	72	109
40	74	107
41	75	104
42	78	103
43	79	101
44	81	99
45	83	97
46	85	95
47	86	94
48	88	92
49	90	90
50	92	88
51	94	86
52	95	85
53	98	83
54	99	81
55	101	80
56	103	78
57	105	76
58	107	74
59	109	72
60	111	71
61	112	69
62	114	67
63	116	65
64	118	63
65	120	62
66	122	60
67	124	58
68	126	56
69	128	55
70	130	53
71	132	51
72	133	49
73	135	47
74	137	45
75	139	44
76	141	42
77	142	40
78	144	38
79	146	36
80	147	34
81	149	32
82	151	31
83	153	29
84	155	27
85	156	25
86	158	23
87	160	21
88	162	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	173	9
95	175	7
96	177	5
97	180	3
98	182	1
99	184	0
