iter	Passed	Remaining
0	152	152457
1	154	77207
2	156	52083
3	158	39579
4	161	32052
5	164	27326
6	168	23931
7	171	21257
8	173	19149
9	176	17429
10	178	16055
11	180	14860
12	182	13856
13	184	12989
14	189	12434
15	191	11763
16	193	11173
17	195	10649
18	198	10249
19	202	9922
20	205	9585
21	207	9234
22	209	8907
23	211	8604
24	213	8322
25	215	8065
26	217	7836
27	219	7624
28	221	7425
29	224	7250
30	226	7069
31	228	6897
32	229	6733
33	231	6588
34	234	6454
35	235	6316
36	237	6184
37	239	6070
38	241	5956
39	243	5849
40	245	5751
41	248	5669
42	254	5653
43	257	5584
44	261	5548
45	263	5468
46	265	5386
47	267	5309
48	269	5235
49	272	5183
50	275	5120
51	277	5056
52	279	4993
53	281	4932
54	283	4876
55	286	4821
56	288	4774
57	291	4728
58	293	4681
59	295	4634
60	298	4593
61	300	4546
62	302	4505
63	305	4464
64	307	4427
65	310	4387
66	312	4348
67	314	4312
68	317	4279
69	319	4243
70	321	4207
71	323	4174
72	327	4153
73	329	4119
74	331	4083
75	333	4056
76	335	4026
77	338	4000
78	340	3975
79	343	3944
80	344	3907
81	346	3878
82	348	3854
83	350	3826
84	352	3790
85	354	3762
86	355	3735
87	357	3709
88	359	3683
89	364	3684
90	366	3659
91	368	3634
92	370	3609
93	371	3582
94	373	3559
95	375	3538
96	378	3524
97	380	3504
98	382	3482
99	384	3461
100	386	3440
101	388	3420
102	390	3400
103	393	3387
104	395	3369
105	397	3350
106	399	3331
107	401	3312
108	403	3295
109	405	3280
110	407	3267
111	410	3253
112	412	3238
113	414	3221
114	416	3206
115	419	3193
116	421	3178
117	423	3168
118	425	3152
119	427	3136
120	429	3121
121	431	3106
122	433	3091
123	435	3076
124	438	3066
125	440	3053
126	442	3042
127	444	3029
128	446	3016
129	448	3004
130	453	3009
131	456	2999
132	458	2988
133	460	2976
134	463	2967
135	465	2959
136	468	2949
137	470	2941
138	474	2936
139	476	2925
140	478	2916
141	488	2953
142	490	2942
143	492	2930
144	494	2918
145	498	2916
146	502	2915
147	504	2905
148	506	2894
149	508	2883
150	510	2872
151	517	2889
152	520	2880
153	522	2868
154	524	2858
155	526	2846
156	529	2844
157	532	2839
158	534	2828
159	536	2816
160	538	2805
161	540	2794
162	546	2807
163	549	2800
164	552	2795
165	555	2789
166	557	2781
167	560	2773
168	562	2764
169	564	2756
170	566	2748
171	568	2738
172	570	2728
173	577	2739
174	579	2730
175	581	2720
176	582	2710
